	Jan-Mar	Apr-Jun	Jul-Sep	Oct-Dec
Jan-Mar	0.864839865029742	0.86196707426847	0.8616820058244188	0.8609895857774942
Apr-Jun	0.8632004660305111	0.8622004306662493	0.8614977125645681	0.8581835477389183
Jul-Sep	0.862334494143964	0.8589769480248297	0.8656601975008783	0.8605610820599947
Oct-Dec	0.8630174005733144	0.8626390688996165	0.8633283710604839	0.8583004421411532
