	1948-56	1960-68	1972-80	1984-92	1996-2004	2008-16
1948-56	0.6587523572990313	0.5668391312773381	0.5183324347543037	0.5438285122360842	0.5247951436758331	0.5316870312550126
1960-68	0.5510920795118722	0.8001253551510302	0.5291614948967069	0.47740268595411384	0.47353271583121875	0.49484151675718746
1972-80	0.5454335618990148	0.505667508533062	0.6780228500814889	0.6347168042715854	0.5733290478425471	0.5233777221132546
1984-92	0.514736079781687	0.47262690856394624	0.5653059161299048	0.8657708606526754	0.5944481336458106	0.5687663196805001
1996-2004	0.43515601875088095	0.40427094850430456	0.4904240782691066	0.6178815642740005	0.8484388357344754	0.6843916472853434
2008-16	0.43474831672763614	0.41587803831332953	0.4797993510038422	0.6059555895592027	0.6738768154350766	0.8188173379055599
