	Jan-Mar	Apr-Jun	Jul-Sep	Oct-Dec
Jan-Mar	0.8976836703342339	0.8057625734137148	0.7503650239883629	0.7694264594818624
Apr-Jun	0.7946328064120247	0.8763402542156301	0.7453302400015869	0.78709982632952
Jul-Sep	0.7937878095962716	0.7949383517196625	0.8995778917965772	0.7665015345423328
Oct-Dec	0.7909465925911312	0.7903292096443033	0.7305275575905434	0.8907097784339546
